Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
360.000000	0.0936809 	360.000000	0.0685258 	360.000000	0.0689976 	360.000000	0.0685412 	360.000000	0.0685097 	360.000000	1.60935e-05	
370.000000	0.0923759 	370.000000	0.0676508 	370.000000	0.0680956 	370.000000	0.0676473 	370.000000	0.0676351 	370.000000	1.56956e-05	
380.000000	0.0911379 	380.000000	0.0668219 	380.000000	0.0672453 	380.000000	0.066801  	380.000000	0.0668066 	380.000000	1.53177e-05	
390.000000	0.089962  	390.000000	0.0660355 	390.000000	0.0664424 	390.000000	0.065999  	390.000000	0.0660206 	390.000000	1.49582e-05	
400.000000	0.0888437 	400.000000	0.0652887 	400.000000	0.06568   	400.000000	0.0652378 	400.000000	0.0652741 	400.000000	1.4616e-05	
410.000000	0.087779  	410.000000	0.0645785 	410.000000	0.064955  	410.000000	0.0645147 	410.000000	0.0645643 	410.000000	1.42896e-05	
420.000000	0.0867644 	420.000000	0.0639026 	420.000000	0.0642654 	420.000000	0.0638271 	420.000000	0.0638886 	420.000000	1.39781e-05	
430.000000	0.0857964 	430.000000	0.0632585 	430.000000	0.0636094 	430.000000	0.0631725 	430.000000	0.0632449 	430.000000	1.36804e-05	
440.000000	0.084872  	440.000000	0.0626443 	440.000000	0.062985  	440.000000	0.0625487 	440.000000	0.0626309 	440.000000	1.33956e-05	
450.000000	0.0839886 	450.000000	0.0620579 	450.000000	0.0623885 	450.000000	0.0619538 	450.000000	0.0620447 	450.000000	1.31229e-05	
460.000000	0.0831435 	460.000000	0.0614975 	460.000000	0.0618164 	460.000000	0.0613859 	460.000000	0.0614847 	460.000000	1.28615e-05	
470.000000	0.0823344 	470.000000	0.0609617 	470.000000	0.0612685 	470.000000	0.0608434 	470.000000	0.0609491 	470.000000	1.26107e-05	
480.000000	0.0815592 	480.000000	0.060449  	480.000000	0.0607459 	480.000000	0.0603246 	480.000000	0.0604366 	480.000000	1.237e-05 	
490.000000	0.0808159 	490.000000	0.0599578 	490.000000	0.0602481 	490.000000	0.0598283 	490.000000	0.0599457 	490.000000	1.21386e-05	
500.000000	0.0801027 	500.000000	0.0594871 	500.000000	0.0597723 	500.000000	0.0593531 	500.000000	0.0594752 	500.000000	1.1916e-05	
520.000000	0.0787599 	520.000000	0.0586022 	520.000000	0.0588783 	520.000000	0.058461  	520.000000	0.0585907 	520.000000	1.14954e-05	
540.000000	0.077519  	540.000000	0.0577861 	540.000000	0.0580549 	540.000000	0.05764   	540.000000	0.057775  	540.000000	1.11046e-05	
560.000000	0.0763694 	560.000000	0.0570316 	560.000000	0.0572953 	560.000000	0.0568823 	560.000000	0.0570209 	560.000000	1.07405e-05	
580.000000	0.0753022 	580.000000	0.0563326 	580.000000	0.0565917 	580.000000	0.0561817 	580.000000	0.0563222 	580.000000	1.04004e-05	
600.000000	0.0743097 	600.000000	0.0556835 	600.000000	0.0559375 	600.000000	0.0555325 	600.000000	0.0556735 	600.000000	1.0082e-05	
620.000000	0.0733848 	620.000000	0.0550799 	620.000000	0.05533   	620.000000	0.0549297 	620.000000	0.0550701 	620.000000	9.78324e-06	
640.000000	0.0725217 	640.000000	0.0545174 	640.000000	0.0547674 	640.000000	0.0543691 	640.000000	0.0545079 	640.000000	9.50233e-06	
660.000000	0.071715  	660.000000	0.0539926 	660.000000	0.0542441 	660.000000	0.0538469 	660.000000	0.0539833 	660.000000	9.2377e-06	
680.000000	0.07096   	680.000000	0.0535021 	680.000000	0.0537554 	680.000000	0.0533597 	680.000000	0.0534931 	680.000000	8.98796e-06	
700.000000	0.0702524 	700.000000	0.0530431 	700.000000	0.053299  	700.000000	0.0529045 	700.000000	0.0530343 	700.000000	8.75188e-06	
720.000000	0.0695886 	720.000000	0.0526131 	720.000000	0.0528724 	720.000000	0.0524786 	720.000000	0.0526045 	720.000000	8.52834e-06	
740.000000	0.0689652 	740.000000	0.0522097 	740.000000	0.0524714 	740.000000	0.0520796 	740.000000	0.0522014 	740.000000	8.31637e-06	
760.000000	0.0683791 	760.000000	0.0518309 	760.000000	0.0520932 	760.000000	0.0517055 	760.000000	0.0518228 	760.000000	8.11507e-06	
780.000000	0.0678277 	780.000000	0.051475  	780.000000	0.0517378 	780.000000	0.0513543 	780.000000	0.051467  	780.000000	7.92365e-06	
800.000000	0.0673084 	800.000000	0.0511401 	800.000000	0.0514055 	800.000000	0.0510242 	800.000000	0.0511324 	800.000000	7.74139e-06	
820.000000	0.0668192 	820.000000	0.0508249 	820.000000	0.0510943 	820.000000	0.0507137 	820.000000	0.0508173 	820.000000	7.56764e-06	
840.000000	0.0663578 	840.000000	0.0505279 	840.000000	0.0508015 	840.000000	0.0504213 	840.000000	0.0505205 	840.000000	7.40181e-06	
860.000000	0.0659226 	860.000000	0.0502479 	860.000000	0.0505251 	860.000000	0.0501459 	860.000000	0.0502407 	860.000000	7.24336e-06	
880.000000	0.0655118 	880.000000	0.0499838 	880.000000	0.0502643 	880.000000	0.0498861 	880.000000	0.0499767 	880.000000	7.0918e-06	
900.000000	0.0651239 	900.000000	0.0497345 	900.000000	0.0500185 	900.000000	0.0496409 	900.000000	0.0497276 	900.000000	6.9467e-06	
920.000000	0.0647574 	920.000000	0.0494992 	920.000000	0.0497866 	920.000000	0.0494094 	920.000000	0.0494924 	920.000000	6.80764e-06	
940.000000	0.0644112 	940.000000	0.0492769 	940.000000	0.0495671 	940.000000	0.0491906 	940.000000	0.0492702 	940.000000	6.67424e-06	
960.000000	0.0640839 	960.000000	0.0490668 	960.000000	0.0493587 	960.000000	0.0489837 	960.000000	0.0490602 	960.000000	6.54616e-06	
980.000000	0.0637746 	980.000000	0.0488682 	980.000000	0.0491606 	980.000000	0.0487879 	980.000000	0.0488618 	980.000000	6.42309e-06	
1000.000000	0.0634821 	1000.000000	0.0486805 	1000.000000	0.0489726 	1000.000000	0.0486026 	1000.000000	0.0486742 	1000.000000	6.30473e-06	
1020.000000	0.0632057 	1020.000000	0.048503  	1020.000000	0.0487948 	1020.000000	0.0484272 	1020.000000	0.0484968 	1020.000000	6.19082e-06	
1040.000000	0.0629443 	1040.000000	0.0483351 	1040.000000	0.048627  	1040.000000	0.0482609 	1040.000000	0.048329  	1040.000000	6.08111e-06	
1060.000000	0.0626972 	1060.000000	0.0481763 	1060.000000	0.0484686 	1060.000000	0.0481033 	1060.000000	0.0481703 	1060.000000	5.97536e-06	
1080.000000	0.0624636 	1080.000000	0.0480261 	1080.000000	0.0483187 	1080.000000	0.0479539 	1080.000000	0.0480203 	1080.000000	5.87336e-06	
1100.000000	0.0622429 	1100.000000	0.0478841 	1100.000000	0.0481767 	1100.000000	0.0478121 	1100.000000	0.0478784 	1100.000000	5.77492e-06	
1120.000000	0.0620344 	1120.000000	0.0477498 	1120.000000	0.0480441 	1120.000000	0.0476798 	1120.000000	0.0477442 	1120.000000	5.67984e-06	
1140.000000	0.0618375 	1140.000000	0.0476229 	1140.000000	0.0479186 	1140.000000	0.0475548 	1140.000000	0.0476173 	1140.000000	5.58796e-06	
1160.000000	0.0616517 	1160.000000	0.0475028 	1160.000000	0.0477995 	1160.000000	0.0474362 	1160.000000	0.0474973 	1160.000000	5.49912e-06	
1180.000000	0.0614764 	1180.000000	0.0473894 	1180.000000	0.0476864 	1180.000000	0.0473238 	1180.000000	0.047384  	1180.000000	5.41316e-06	
1200.000000	0.0613111 	1200.000000	0.0472823 	1200.000000	0.0475793 	1200.000000	0.0472171 	1200.000000	0.047277  	1200.000000	5.32995e-06	
1220.000000	0.0611554 	1220.000000	0.0471812 	1220.000000	0.0474778 	1220.000000	0.0471158 	1220.000000	0.0471759 	1220.000000	5.24935e-06	
1240.000000	0.0610088 	1240.000000	0.0470857 	1240.000000	0.0473815 	1240.000000	0.0470197 	1240.000000	0.0470806 	1240.000000	5.17124e-06	
1260.000000	0.0608709 	1260.000000	0.0469957 	1260.000000	0.0472901 	1260.000000	0.0469286 	1260.000000	0.0469906 	1260.000000	5.09551e-06	
1280.000000	0.0607414 	1280.000000	0.0469109 	1280.000000	0.0472032 	1280.000000	0.0468421 	1280.000000	0.0469059 	1280.000000	5.02205e-06	
1300.000000	0.0606199 	1300.000000	0.046831  	1300.000000	0.0471205 	1300.000000	0.04676   	1300.000000	0.046826  	1300.000000	4.95075e-06	
1320.000000	0.060506  	1320.000000	0.0467558 	1320.000000	0.0470418 	1320.000000	0.0466822 	1320.000000	0.046751  	1320.000000	4.88153e-06	
1340.000000	0.0603995 	1340.000000	0.0466852 	1340.000000	0.0469668 	1340.000000	0.0466084 	1340.000000	0.0466804 	1340.000000	4.81428e-06	
1360.000000	0.0603    	1360.000000	0.0466189 	1360.000000	0.0468955 	1360.000000	0.0465383 	1360.000000	0.0466141 	1360.000000	4.74893e-06	
1380.000000	0.0602072 	1380.000000	0.0465567 	1380.000000	0.0468277 	1380.000000	0.046472  	1380.000000	0.046552  	1380.000000	4.6854e-06	
1400.000000	0.060121  	1400.000000	0.0464985 	1400.000000	0.0467635 	1400.000000	0.046409  	1400.000000	0.0464939 	1400.000000	4.6236e-06	
1420.000000	0.0600409 	1420.000000	0.0464441 	1420.000000	0.0467027 	1420.000000	0.0463494 	1420.000000	0.0464395 	1420.000000	4.56348e-06	
