Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
80.000000	0.291808  	80.000000	0.290386  	80.000000	0.290485  	80.000000	0.289881  	80.000000	0.290269  	80.000000	0.00011703	
85.000000	0.278727  	85.000000	0.277263  	85.000000	0.277386  	85.000000	0.276774  	85.000000	0.277152  	85.000000	0.00011071	
90.000000	0.266998  	90.000000	0.265522  	90.000000	0.265691  	90.000000	0.26504   	90.000000	0.265417  	90.000000	0.000105061	
95.000000	0.256416  	95.000000	0.254955  	95.000000	0.255123  	95.000000	0.25447   	95.000000	0.254855  	95.000000	9.99821e-05	
100.000000	0.246818  	100.000000	0.245392  	100.000000	0.245552  	100.000000	0.244899  	100.000000	0.245296  	100.000000	9.53888e-05	
105.000000	0.238069  	105.000000	0.236695  	105.000000	0.236841  	105.000000	0.236189  	105.000000	0.236604  	105.000000	9.1214e-05	
110.000000	0.230059  	110.000000	0.22875   	110.000000	0.228905  	110.000000	0.228229  	110.000000	0.228663  	110.000000	8.74024e-05	
115.000000	0.222695  	115.000000	0.221464  	115.000000	0.221608  	115.000000	0.220925  	115.000000	0.22138   	115.000000	8.39081e-05	
120.000000	0.215901  	120.000000	0.214756  	120.000000	0.214877  	120.000000	0.214199  	120.000000	0.214676  	120.000000	8.06925e-05	
125.000000	0.209611  	125.000000	0.208561  	125.000000	0.20866   	125.000000	0.207983  	125.000000	0.208483  	125.000000	7.77231e-05	
130.000000	0.20377   	130.000000	0.20282   	130.000000	0.202897  	130.000000	0.202223  	130.000000	0.202745  	130.000000	7.49724e-05	
135.000000	0.19833   	135.000000	0.197486  	135.000000	0.19754   	135.000000	0.196868  	135.000000	0.197414  	135.000000	7.24168e-05	
140.000000	0.193251  	140.000000	0.192516  	140.000000	0.192548  	140.000000	0.191879  	140.000000	0.192446  	140.000000	7.00359e-05	
145.000000	0.188496  	145.000000	0.187874  	145.000000	0.187884  	145.000000	0.187218  	145.000000	0.187807  	145.000000	6.78123e-05	
150.000000	0.184034  	150.000000	0.183529  	150.000000	0.183518  	150.000000	0.182853  	150.000000	0.183463  	150.000000	6.57307e-05	
155.000000	0.179419  	155.000000	0.179453  	155.000000	0.17942   	155.000000	0.178759  	155.000000	0.179389  	155.000000	6.37777e-05	
160.000000	0.175695  	160.000000	0.175621  	160.000000	0.175568  	160.000000	0.174909  	160.000000	0.175559  	160.000000	6.19416e-05	
165.000000	0.172182  	165.000000	0.172011  	165.000000	0.17194   	165.000000	0.171283  	165.000000	0.171951  	165.000000	6.02121e-05	
170.000000	0.168863  	170.000000	0.168606  	170.000000	0.168516  	170.000000	0.167862  	170.000000	0.168548  	170.000000	5.85801e-05	
175.000000	0.165722  	175.000000	0.165388  	175.000000	0.165281  	175.000000	0.164629  	175.000000	0.165331  	175.000000	5.70374e-05	
180.000000	0.162746  	180.000000	0.162343  	180.000000	0.162218  	180.000000	0.161569  	180.000000	0.162287  	180.000000	5.55768e-05	
185.000000	0.159921  	185.000000	0.159455  	185.000000	0.159315  	185.000000	0.158669  	185.000000	0.159401  	185.000000	5.41919e-05	
190.000000	0.157235  	190.000000	0.156715  	190.000000	0.156559  	190.000000	0.155916  	190.000000	0.156662  	190.000000	5.28768e-05	
195.000000	0.154679  	195.000000	0.154109  	195.000000	0.15394   	195.000000	0.153299  	195.000000	0.154058  	195.000000	5.16264e-05	
200.000000	0.152244  	200.000000	0.15163   	200.000000	0.151447  	200.000000	0.150809  	200.000000	0.15158   	200.000000	5.04358e-05	
210.000000	0.147702  	210.000000	0.147014  	210.000000	0.146807  	210.000000	0.146173  	210.000000	0.146966  	210.000000	4.82179e-05	
220.000000	0.143549  	220.000000	0.142805  	220.000000	0.142576  	220.000000	0.141947  	220.000000	0.142759  	220.000000	4.61935e-05	
230.000000	0.139739  	230.000000	0.138951  	230.000000	0.138704  	230.000000	0.138079  	230.000000	0.138906  	230.000000	4.43379e-05	
240.000000	0.136229  	240.000000	0.135409  	240.000000	0.135146  	240.000000	0.134526  	240.000000	0.135366  	240.000000	4.26308e-05	
250.000000	0.132985  	250.000000	0.132143  	250.000000	0.131869  	250.000000	0.131252  	250.000000	0.132102  	250.000000	4.10547e-05	
260.000000	0.129979  	260.000000	0.129122  	260.000000	0.128831  	260.000000	0.128224  	260.000000	0.129083  	260.000000	3.9595e-05	
270.000000	0.127184  	270.000000	0.126321  	270.000000	0.12601   	270.000000	0.125418  	270.000000	0.126282  	270.000000	3.82391e-05	
280.000000	0.124579  	280.000000	0.123715  	280.000000	0.123399  	280.000000	0.122809  	280.000000	0.123678  	280.000000	3.69762e-05	
290.000000	0.122147  	290.000000	0.121286  	290.000000	0.120965  	290.000000	0.120378  	290.000000	0.12125   	290.000000	3.57968e-05	
300.000000	0.119869  	300.000000	0.119016  	300.000000	0.118691  	300.000000	0.118108  	300.000000	0.118981  	300.000000	3.4693e-05	
310.000000	0.117732  	310.000000	0.11689   	310.000000	0.116564  	310.000000	0.115984  	310.000000	0.116856  	310.000000	3.36575e-05	
320.000000	0.115723  	320.000000	0.114896  	320.000000	0.114569  	320.000000	0.113992  	320.000000	0.114863  	320.000000	3.26842e-05	
330.000000	0.113832  	330.000000	0.113021  	330.000000	0.112695  	330.000000	0.11212   	330.000000	0.112989  	330.000000	3.17675e-05	
340.000000	0.112047  	340.000000	0.111256  	340.000000	0.110932  	340.000000	0.11036   	340.000000	0.111225  	340.000000	3.09027e-05	
350.000000	0.110362  	350.000000	0.109591  	350.000000	0.10927   	350.000000	0.1087    	350.000000	0.109561  	350.000000	3.00852e-05	
360.000000	0.108767  	360.000000	0.108018  	360.000000	0.107697  	360.000000	0.107133  	360.000000	0.107989  	360.000000	2.93114e-05	
370.000000	0.107255  	370.000000	0.10653   	370.000000	0.106198  	370.000000	0.105645  	370.000000	0.106502  	370.000000	2.85778e-05	
380.000000	0.105821  	380.000000	0.105121  	380.000000	0.104784  	380.000000	0.104235  	380.000000	0.105093  	380.000000	2.78813e-05	
390.000000	0.104459  	390.000000	0.103784  	390.000000	0.103447  	390.000000	0.102899  	390.000000	0.103757  	390.000000	2.72191e-05	
400.000000	0.103164  	400.000000	0.102515  	400.000000	0.102177  	400.000000	0.101631  	400.000000	0.102489  	400.000000	2.65887e-05	
410.000000	0.101931  	410.000000	0.101308  	410.000000	0.10097   	410.000000	0.100427  	410.000000	0.101282  	410.000000	2.59878e-05	
420.000000	0.100755  	420.000000	0.10016   	420.000000	0.0998222 	420.000000	0.0992807 	420.000000	0.100134  	420.000000	2.54144e-05	
430.000000	0.0996335 	430.000000	0.0990655 	430.000000	0.0987296 	430.000000	0.0981897 	430.000000	0.0990406 	430.000000	2.48667e-05	
440.000000	0.0985624 	440.000000	0.0980218 	440.000000	0.0976889 	440.000000	0.0971499 	440.000000	0.0979975 	440.000000	2.43428e-05	
450.000000	0.0975385 	450.000000	0.0970256 	450.000000	0.096695  	450.000000	0.0961579 	450.000000	0.0970017 	450.000000	2.38414e-05	
460.000000	0.0965591 	460.000000	0.0960737 	460.000000	0.0957426 	460.000000	0.0952107 	460.000000	0.0960503 	460.000000	2.33609e-05	
470.000000	0.0956213 	470.000000	0.0951634 	470.000000	0.0948306 	470.000000	0.0943054 	470.000000	0.0951405 	470.000000	2.29001e-05	
480.000000	0.0947227 	480.000000	0.0942923 	480.000000	0.09396   	480.000000	0.0934396 	480.000000	0.0942698 	480.000000	2.24577e-05	
490.000000	0.093861  	490.000000	0.0934579 	490.000000	0.0931295 	490.000000	0.0926109 	490.000000	0.0934359 	490.000000	2.20326e-05	
500.000000	0.0930341 	500.000000	0.0926582 	500.000000	0.0923349 	500.000000	0.0918169 	500.000000	0.0926365 	500.000000	2.16239e-05	
520.000000	0.0914772 	520.000000	0.0911548 	520.000000	0.0908413 	520.000000	0.0903258 	520.000000	0.0911339 	520.000000	2.08519e-05	
540.000000	0.0900381 	540.000000	0.089768  	540.000000	0.0894644 	540.000000	0.0889517 	540.000000	0.0897479 	540.000000	2.01349e-05	
560.000000	0.0887047 	560.000000	0.0884857 	560.000000	0.0881926 	560.000000	0.0876824 	560.000000	0.0884663 	560.000000	1.94672e-05	
580.000000	0.0874667 	580.000000	0.0872973 	580.000000	0.0870137 	580.000000	0.0865072 	580.000000	0.0872785 	580.000000	1.88437e-05	
600.000000	0.0863151 	600.000000	0.0861938 	600.000000	0.0859172 	600.000000	0.0854167 	600.000000	0.0861755 	600.000000	1.82603e-05	
620.000000	0.0852418 	620.000000	0.085167  	620.000000	0.0848974 	620.000000	0.0844028 	620.000000	0.0851492 	620.000000	1.77131e-05	
640.000000	0.0842401 	640.000000	0.0842099 	640.000000	0.0839505 	640.000000	0.0834584 	640.000000	0.0841927 	640.000000	1.71988e-05	
660.000000	0.0833036 	660.000000	0.0833165 	660.000000	0.083068  	660.000000	0.0825772 	660.000000	0.0832998 	660.000000	1.67145e-05	
680.000000	0.082427  	680.000000	0.0824812 	680.000000	0.0822425 	680.000000	0.0817536 	680.000000	0.082465  	680.000000	1.62576e-05	
700.000000	0.0816053 	700.000000	0.0816992 	700.000000	0.0814702 	700.000000	0.0809827 	700.000000	0.0816834 	700.000000	1.58259e-05	
720.000000	0.0808343 	720.000000	0.0809661 	720.000000	0.0807467 	720.000000	0.0802601 	720.000000	0.0809507 	720.000000	1.54172e-05	
740.000000	0.0801101 	740.000000	0.0802781 	740.000000	0.080066  	740.000000	0.0795819 	740.000000	0.0802631 	740.000000	1.50298e-05	
760.000000	0.0794292 	760.000000	0.0796317 	760.000000	0.0794235 	760.000000	0.0789446 	760.000000	0.0796171 	760.000000	1.46621e-05	
780.000000	0.0787884 	780.000000	0.0790238 	780.000000	0.0788188 	780.000000	0.0783449 	780.000000	0.0790095 	780.000000	1.43125e-05	
800.000000	0.0781849 	800.000000	0.0784516 	800.000000	0.0782512 	800.000000	0.0777801 	800.000000	0.0784376 	800.000000	1.39797e-05	
820.000000	0.0776161 	820.000000	0.0779124 	820.000000	0.0777178 	820.000000	0.0772475 	820.000000	0.0778987 	820.000000	1.36625e-05	
840.000000	0.0770797 	840.000000	0.0774041 	840.000000	0.0772145 	840.000000	0.0767449 	840.000000	0.0773907 	840.000000	1.33599e-05	
860.000000	0.0765735 	860.000000	0.0769244 	860.000000	0.0767386 	860.000000	0.0762701 	860.000000	0.0769114 	860.000000	1.30709e-05	
880.000000	0.0760957 	880.000000	0.0764716 	880.000000	0.0762885 	880.000000	0.0758212 	880.000000	0.0764588 	880.000000	1.27945e-05	
900.000000	0.0756443 	900.000000	0.0760438 	900.000000	0.0758628 	900.000000	0.0753963 	900.000000	0.0760313 	900.000000	1.25299e-05	
920.000000	0.0752179 	920.000000	0.0756395 	920.000000	0.07546   	920.000000	0.074994  	920.000000	0.0756272 	920.000000	1.22764e-05	
940.000000	0.0748148 	940.000000	0.0752571 	940.000000	0.0750779 	940.000000	0.0746128 	940.000000	0.0752451 	940.000000	1.20333e-05	
960.000000	0.0744338 	960.000000	0.0748954 	960.000000	0.0747145 	960.000000	0.0742512 	960.000000	0.0748836 	960.000000	1.18e-05  	
980.000000	0.0740736 	980.000000	0.0745531 	980.000000	0.0743685 	980.000000	0.0739081 	980.000000	0.0745415 	980.000000	1.15758e-05	
1000.000000	0.0737329 	1000.000000	0.074229  	1000.000000	0.0740394 	1000.000000	0.0735822 	1000.000000	0.0742177 	1000.000000	1.13603e-05	
