Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
29.000000	0.769157  	29.000000	0.771156  	29.000000	0.766968  	29.000000	0.768763  	29.000000	0.770756  	29.000000	0.000399905	
31.000000	0.728644  	31.000000	0.730281  	31.000000	0.726995  	31.000000	0.728466  	31.000000	0.729905  	31.000000	0.000376391	
33.000000	0.692671  	33.000000	0.693968  	33.000000	0.690985  	33.000000	0.692157  	33.000000	0.693613  	33.000000	0.000355593	
35.000000	0.660502  	35.000000	0.661485  	35.000000	0.658787  	35.000000	0.659697  	35.000000	0.661148  	35.000000	0.000337061	
38.000000	0.61814   	38.000000	0.6187    	38.000000	0.616387  	38.000000	0.616964  	38.000000	0.618388  	38.000000	0.000312751	
41.000000	0.581539  	41.000000	0.581733  	41.000000	0.579765  	41.000000	0.580055  	41.000000	0.581441  	41.000000	0.000291837	
44.000000	0.549579  	44.000000	0.549459  	44.000000	0.547718  	44.000000	0.54784   	44.000000	0.549186  	44.000000	0.000273644	
47.000000	0.521416  	47.000000	0.521029  	47.000000	0.519522  	47.000000	0.519462  	47.000000	0.520772  	47.000000	0.000257669	
50.000000	0.4964    	50.000000	0.495787  	50.000000	0.494471  	50.000000	0.494267  	50.000000	0.495544  	50.000000	0.000243525	
55.000000	0.460366  	55.000000	0.459454  	55.000000	0.458343  	55.000000	0.457995  	55.000000	0.459231  	55.000000	0.000223228	
60.000000	0.429941  	60.000000	0.428812  	60.000000	0.427855  	60.000000	0.427398  	60.000000	0.428605  	60.000000	0.000206167	
65.000000	0.40389   	65.000000	0.402606  	65.000000	0.401732  	65.000000	0.401224  	65.000000	0.402415  	65.000000	0.000191617	
70.000000	0.381314  	70.000000	0.37993   	70.000000	0.37917   	70.000000	0.378567  	70.000000	0.379751  	70.000000	0.000179055	
